,filename,x1,y1,x2,y2,id
0,frame0.jpg,1009,138,1259,703,1
1,frame0.jpg,115,113,423,713,2
2,frame0.jpg,577,225,714,625,3
3,frame0.jpg,470,252,599,593,4
4,frame0.jpg,952,299,1041,535,5
5,frame0.jpg,691,207,789,503,6
6,frame0.jpg,795,279,833,383,7
7,frame0.jpg,353,222,451,552,8
8,frame1.jpg,1011,145,1253,705,1
9,frame1.jpg,121,112,431,709,2
10,frame1.jpg,470,252,598,591,4
11,frame1.jpg,583,231,714,619,3
12,frame1.jpg,690,211,788,506,6
13,frame1.jpg,953,295,1039,538,5
14,frame1.jpg,795,279,833,384,7
15,frame1.jpg,350,222,451,537,8
16,frame10.jpg,993,149,1210,656,1
17,frame10.jpg,163,139,460,708,9
18,frame10.jpg,580,230,704,600,3
19,frame10.jpg,466,250,592,582,4
20,frame10.jpg,934,299,1021,527,5
21,frame10.jpg,687,208,791,515,6
22,frame10.jpg,794,274,830,385,10
23,frame100.jpg,704,193,843,570,11
24,frame100.jpg,404,230,536,663,12
25,frame100.jpg,582,252,662,530,3
26,frame100.jpg,901,202,1023,541,1
27,frame100.jpg,49,286,324,712,13
28,frame100.jpg,517,257,591,525,14
29,frame101.jpg,702,191,843,572,11
30,frame101.jpg,404,229,536,664,12
31,frame101.jpg,896,198,1022,537,1
32,frame101.jpg,583,251,662,530,3
33,frame101.jpg,40,306,325,710,13
34,frame101.jpg,517,259,589,523,14
35,frame102.jpg,899,199,1017,548,15
36,frame102.jpg,704,193,844,574,11
37,frame102.jpg,405,233,538,665,12
38,frame102.jpg,584,252,662,523,3
39,frame102.jpg,52,292,327,716,13
40,frame102.jpg,517,258,590,524,14
41,frame102.jpg,71,204,200,430,16
42,frame103.jpg,705,193,845,573,11
43,frame103.jpg,409,234,542,670,12
44,frame103.jpg,893,194,1022,536,1
45,frame103.jpg,584,251,660,527,3
46,frame103.jpg,65,285,344,711,13
47,frame103.jpg,519,259,590,520,4
48,frame104.jpg,703,195,847,573,11
49,frame104.jpg,409,235,539,665,12
50,frame104.jpg,892,197,1020,531,1
51,frame104.jpg,585,252,661,521,3
52,frame104.jpg,66,276,337,716,13
53,frame104.jpg,517,259,592,523,14
54,frame104.jpg,0,201,79,644,17
55,frame105.jpg,409,235,536,666,12
56,frame105.jpg,699,191,844,575,11
57,frame105.jpg,584,252,662,521,3
58,frame105.jpg,888,198,1020,532,1
59,frame105.jpg,83,281,340,709,13
60,frame105.jpg,518,260,594,521,14
61,frame106.jpg,704,189,846,578,11
62,frame106.jpg,412,236,538,669,12
63,frame106.jpg,585,255,662,520,3
64,frame106.jpg,898,217,1023,543,1
65,frame106.jpg,88,275,339,713,13
66,frame106.jpg,515,261,592,516,4
67,frame106.jpg,0,208,81,659,17
68,frame106.jpg,683,289,710,379,18
69,frame107.jpg,698,186,847,578,11
70,frame107.jpg,413,237,538,667,12
71,frame107.jpg,894,205,1019,536,1
72,frame107.jpg,584,255,661,518,3
73,frame107.jpg,67,254,344,709,13
74,frame107.jpg,520,256,590,520,14
75,frame107.jpg,0,203,86,660,17
76,frame108.jpg,698,184,848,579,11
77,frame108.jpg,413,239,538,664,12
78,frame108.jpg,892,218,1020,539,1
79,frame108.jpg,584,253,658,520,3
80,frame108.jpg,69,258,355,712,13
81,frame108.jpg,519,258,592,523,14
82,frame108.jpg,0,201,88,669,17
83,frame109.jpg,699,185,848,579,11
84,frame109.jpg,414,240,537,661,12
85,frame109.jpg,891,219,1016,537,1
86,frame109.jpg,584,256,658,518,3
87,frame109.jpg,66,240,352,712,13
88,frame109.jpg,517,252,590,521,14
89,frame109.jpg,0,207,91,642,17
90,frame11.jpg,990,147,1208,644,1
91,frame11.jpg,172,140,460,703,9
92,frame11.jpg,583,235,705,596,3
93,frame11.jpg,467,251,589,583,4
94,frame11.jpg,931,298,1021,521,5
95,frame11.jpg,687,208,790,512,6
96,frame11.jpg,793,274,830,386,10
97,frame110.jpg,415,239,540,659,12
98,frame110.jpg,701,184,848,578,11
99,frame110.jpg,887,223,1014,533,1
100,frame110.jpg,581,257,658,518,3
101,frame110.jpg,77,265,347,713,13
102,frame110.jpg,517,260,595,518,14
103,frame110.jpg,0,204,91,680,17
104,frame111.jpg,700,184,846,579,11
105,frame111.jpg,415,240,540,656,12
106,frame111.jpg,883,222,1011,532,1
107,frame111.jpg,581,255,657,518,3
108,frame111.jpg,0,207,96,690,19
109,frame111.jpg,89,254,344,713,13
110,frame111.jpg,517,256,588,520,14
111,frame111.jpg,177,307,348,709,20
112,frame112.jpg,415,239,540,653,12
113,frame112.jpg,884,221,1004,531,21
114,frame112.jpg,701,184,848,577,11
115,frame112.jpg,580,253,658,519,22
116,frame112.jpg,100,275,346,705,13
117,frame112.jpg,517,257,592,517,14
118,frame112.jpg,0,204,102,679,19
119,frame113.jpg,414,240,544,653,12
120,frame113.jpg,702,184,848,580,11
121,frame113.jpg,880,213,1002,530,15
122,frame113.jpg,580,258,655,519,3
123,frame113.jpg,96,273,356,711,13
124,frame113.jpg,182,313,358,717,20
125,frame113.jpg,518,257,589,518,14
126,frame113.jpg,0,205,105,667,19
127,frame114.jpg,417,241,543,651,12
128,frame114.jpg,705,184,847,576,11
129,frame114.jpg,876,216,1002,530,21
130,frame114.jpg,579,256,658,520,3
131,frame114.jpg,109,295,356,710,13
132,frame114.jpg,518,257,589,517,14
133,frame114.jpg,0,210,104,687,19
134,frame114.jpg,51,218,321,711,23
135,frame114.jpg,675,292,700,379,24
136,frame115.jpg,416,240,543,647,12
137,frame115.jpg,702,182,850,575,6
138,frame115.jpg,879,220,1003,526,21
139,frame115.jpg,579,258,656,516,3
140,frame115.jpg,134,307,356,710,20
141,frame115.jpg,53,227,347,718,23
142,frame115.jpg,518,257,590,520,14
143,frame115.jpg,2,209,102,695,19
144,frame116.jpg,415,240,544,647,12
145,frame116.jpg,703,181,850,576,6
146,frame116.jpg,148,309,358,708,20
147,frame116.jpg,878,227,998,529,21
148,frame116.jpg,580,258,655,515,3
149,frame116.jpg,53,233,340,710,23
150,frame116.jpg,517,255,587,521,14
151,frame116.jpg,1,215,102,688,19
152,frame117.jpg,416,239,544,646,12
153,frame117.jpg,705,183,856,577,6
154,frame117.jpg,150,311,363,710,20
155,frame117.jpg,877,229,1000,529,25
156,frame117.jpg,577,258,659,516,3
157,frame117.jpg,519,256,585,520,14
158,frame117.jpg,0,214,106,689,19
159,frame117.jpg,53,228,341,711,23
160,frame118.jpg,416,239,543,641,12
161,frame118.jpg,706,181,853,577,6
162,frame118.jpg,150,308,362,712,20
163,frame118.jpg,878,221,996,522,21
164,frame118.jpg,577,257,658,517,3
165,frame118.jpg,0,216,104,689,19
166,frame118.jpg,517,249,586,517,14
167,frame118.jpg,63,237,355,711,23
168,frame119.jpg,417,239,543,640,12
169,frame119.jpg,706,181,850,575,6
170,frame119.jpg,151,302,365,715,20
171,frame119.jpg,875,223,998,524,26
172,frame119.jpg,579,259,657,519,3
173,frame119.jpg,58,231,335,711,23
174,frame119.jpg,1,212,113,658,19
175,frame119.jpg,517,251,587,521,14
176,frame12.jpg,976,146,1208,653,21
177,frame12.jpg,581,228,701,594,3
178,frame12.jpg,172,143,466,710,2
179,frame12.jpg,467,252,591,584,4
180,frame12.jpg,929,298,1023,521,5
181,frame12.jpg,688,208,789,510,6
182,frame12.jpg,793,273,831,387,10
183,frame120.jpg,415,240,545,639,12
184,frame120.jpg,706,180,850,577,6
185,frame120.jpg,169,303,368,719,20
186,frame120.jpg,873,224,994,524,21
187,frame120.jpg,577,258,657,520,3
188,frame120.jpg,1236,335,1280,709,27
189,frame120.jpg,0,218,115,666,19
190,frame120.jpg,65,231,317,710,23
191,frame120.jpg,517,252,584,521,14
192,frame121.jpg,414,240,547,638,12
193,frame121.jpg,164,298,372,718,20
194,frame121.jpg,707,181,854,575,6
195,frame121.jpg,875,226,992,526,1
196,frame121.jpg,579,260,656,519,3
197,frame121.jpg,1,217,114,682,19
198,frame121.jpg,1233,323,1280,712,27
199,frame121.jpg,109,242,323,712,23
200,frame121.jpg,515,256,585,524,14
201,frame122.jpg,412,237,546,636,12
202,frame122.jpg,167,302,378,718,20
203,frame122.jpg,877,223,992,527,1
204,frame122.jpg,704,182,853,576,6
205,frame122.jpg,579,258,657,518,3
206,frame122.jpg,0,219,125,683,19
207,frame122.jpg,1225,305,1280,706,27
208,frame122.jpg,71,241,311,706,23
209,frame122.jpg,515,259,586,526,14
210,frame122.jpg,20,214,187,705,28
211,frame123.jpg,414,240,547,632,12
212,frame123.jpg,876,233,988,523,15
213,frame123.jpg,705,181,855,574,6
214,frame123.jpg,177,315,375,718,20
215,frame123.jpg,578,260,657,517,3
216,frame123.jpg,0,219,132,673,19
217,frame123.jpg,1217,273,1280,720,27
218,frame123.jpg,57,235,278,702,23
219,frame123.jpg,515,260,583,521,14
220,frame124.jpg,414,243,548,631,12
221,frame124.jpg,874,233,985,522,15
222,frame124.jpg,704,180,855,574,29
223,frame124.jpg,179,307,376,716,30
224,frame124.jpg,579,264,654,519,3
225,frame124.jpg,0,220,126,691,19
226,frame124.jpg,1211,233,1280,709,27
227,frame124.jpg,52,220,276,717,28
228,frame124.jpg,19,213,171,701,19
229,frame124.jpg,515,254,582,522,14
230,frame125.jpg,702,177,857,581,6
231,frame125.jpg,414,242,548,631,12
232,frame125.jpg,870,235,983,519,15
233,frame125.jpg,187,303,381,717,30
234,frame125.jpg,580,265,656,518,3
235,frame125.jpg,0,226,129,690,19
236,frame125.jpg,1198,216,1280,707,31
237,frame125.jpg,55,219,272,720,28
238,frame126.jpg,869,236,981,516,15
239,frame126.jpg,417,242,549,627,12
240,frame126.jpg,704,178,857,580,6
241,frame126.jpg,191,298,380,717,20
242,frame126.jpg,580,266,656,518,22
243,frame126.jpg,1196,204,1280,720,31
244,frame126.jpg,0,205,128,693,19
245,frame126.jpg,64,220,268,720,28
246,frame127.jpg,868,234,978,514,1
247,frame127.jpg,416,241,549,623,12
248,frame127.jpg,194,303,385,716,30
249,frame127.jpg,707,179,858,585,11
250,frame127.jpg,578,263,657,519,3
251,frame127.jpg,1190,201,1279,711,31
252,frame127.jpg,0,215,131,697,19
253,frame127.jpg,73,213,268,702,28
254,frame128.jpg,705,174,859,587,29
255,frame128.jpg,413,244,555,611,12
256,frame128.jpg,867,234,977,514,25
257,frame128.jpg,199,304,389,719,30
258,frame128.jpg,578,260,657,520,3
259,frame128.jpg,0,216,134,694,19
260,frame128.jpg,1185,203,1280,711,31
261,frame128.jpg,514,259,581,522,14
262,frame128.jpg,80,217,289,717,32
263,frame129.jpg,416,246,554,607,12
264,frame129.jpg,869,235,976,510,25
265,frame129.jpg,709,178,857,592,11
266,frame129.jpg,202,305,388,717,30
267,frame129.jpg,577,259,658,519,22
268,frame129.jpg,1181,188,1279,705,31
