,filename,x1,y1,x2,y2
0,frame0.jpg,1009,138,1259,703
1,frame0.jpg,115,113,423,713
2,frame0.jpg,577,225,714,625
3,frame0.jpg,470,252,599,593
4,frame0.jpg,952,299,1041,535
5,frame0.jpg,691,207,789,503
6,frame0.jpg,795,279,833,383
7,frame0.jpg,353,222,451,552
8,frame1.jpg,1011,145,1253,705
9,frame1.jpg,121,112,431,709
10,frame1.jpg,470,252,598,591
11,frame1.jpg,583,231,714,619
12,frame1.jpg,690,211,788,506
13,frame1.jpg,953,295,1039,538
14,frame1.jpg,795,279,833,384
15,frame1.jpg,350,222,451,537
16,frame10.jpg,993,149,1210,656
17,frame10.jpg,163,139,460,708
18,frame10.jpg,580,230,704,600
19,frame10.jpg,466,250,592,582
20,frame10.jpg,934,299,1021,527
21,frame10.jpg,687,208,791,515
22,frame10.jpg,794,274,830,385
23,frame100.jpg,704,193,843,570
24,frame100.jpg,404,230,536,663
25,frame100.jpg,582,252,662,530
26,frame100.jpg,901,202,1023,541
27,frame100.jpg,49,286,324,712
28,frame100.jpg,517,257,591,525
29,frame101.jpg,702,191,843,572
30,frame101.jpg,404,229,536,664
31,frame101.jpg,896,198,1022,537
32,frame101.jpg,583,251,662,530
33,frame101.jpg,40,306,325,710
34,frame101.jpg,517,259,589,523
35,frame102.jpg,899,199,1017,548
36,frame102.jpg,704,193,844,574
37,frame102.jpg,405,233,538,665
38,frame102.jpg,584,252,662,523
39,frame102.jpg,52,292,327,716
40,frame102.jpg,517,258,590,524
41,frame102.jpg,71,204,200,430
42,frame103.jpg,705,193,845,573
43,frame103.jpg,409,234,542,670
44,frame103.jpg,893,194,1022,536
45,frame103.jpg,584,251,660,527
46,frame103.jpg,65,285,344,711
47,frame103.jpg,519,259,590,520
48,frame104.jpg,703,195,847,573
49,frame104.jpg,409,235,539,665
50,frame104.jpg,892,197,1020,531
51,frame104.jpg,585,252,661,521
52,frame104.jpg,66,276,337,716
53,frame104.jpg,517,259,592,523
54,frame104.jpg,0,201,79,644
55,frame105.jpg,409,235,536,666
56,frame105.jpg,699,191,844,575
57,frame105.jpg,584,252,662,521
58,frame105.jpg,888,198,1020,532
59,frame105.jpg,83,281,340,709
60,frame105.jpg,518,260,594,521
61,frame106.jpg,704,189,846,578
62,frame106.jpg,412,236,538,669
63,frame106.jpg,585,255,662,520
64,frame106.jpg,898,217,1023,543
65,frame106.jpg,88,275,339,713
66,frame106.jpg,515,261,592,516
67,frame106.jpg,0,208,81,659
68,frame106.jpg,683,289,710,379
69,frame107.jpg,698,186,847,578
70,frame107.jpg,413,237,538,667
71,frame107.jpg,894,205,1019,536
72,frame107.jpg,584,255,661,518
73,frame107.jpg,67,254,344,709
74,frame107.jpg,520,256,590,520
75,frame107.jpg,0,203,86,660
76,frame108.jpg,698,184,848,579
77,frame108.jpg,413,239,538,664
